"","X","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated","link","multimedia"
"210",9,"Madame Sata","Not Rated",1,"Stephen Holden","An Outcast on Fire in Rio's Underworld","Set in the slums of Rio de Janiero in the early 1930's, this film is a portrait of Joao Francisco dos Santos, the legendary black transvestite performer, street fighter, male prostitute and spiritual  acolyte of Josephine Baker, in the formative days of his cabaret career. His feverish act, driven by the sizzle of samba, is a glittering, sweat-drenched celebration of the body with  songs and stories that match the wildest inventions of Scheherezade. We meet  Francisco's extended family (a prostitute, her baby and their live-in slave) and one of his  lovers. Fueled by Lázaro Ramos's incandescent performance, the movie creates a romantic  vision of a bygone urban demimonde with many resemblances to Jean Genet's Parisian  underworld. — Stephen Holden","2003-07-09","","2017-11-02 04:16:22","{'type': 'article', 'url': 'http://www.nytimes.com/2003/07/09/movies/film-review-an-outcast-on-fire-in-rio-s-underworld.html', 'suggested_link_text': 'Read the New York Times Review of Madame Sata'}",NA
"211",10,"Dirty Pretty Things","R",1,"Elvis Mitchell","Amid the Luxury, Immigrants in Peril","This swift, tangy drama, with a terrifically terse title, pits London's illegal immigrants against the alluring hope of propriety. They are a forgotten population struggling to bring in enough income so that they don't become disposable. They're expendable manpower in the war to man the desks, mops and bottom-drawer duties of the behind-the-scenes world of luxury hotels, where they're unnoticed by the public, and underpaid and overworked by their employers. This is an urban-legend horror story rendered with grim intelligence by the man with the right tools for the job: Stephen Frears. This understated and sure film is set in a world of survivors. One of them, the Nigerian Okwe (Chiwetel Ejiofor) — who drives a cab and also works as a hotel porter under the large thumb of the smooth operator night manager, Sneaky, a smooth operator (Sergi Lopez) — seems to be as haunted as he is obsessed. The film doesn't elaborate on the troubles that have sent Okwe so far from home; all we really know is that he has left a wife and a daughter behind, and part of his pain comes from pining for them. That lingering misery is what keeps him safely on the couch of his Turkish roommate, the virginal Senay (Audrey Tatou), refusing to act on the magnetism that keeps her gazing at him adoringly. He's capable of loyalty to the rest of his ad hoc family —  to Guo Yi (Benedict Wong), the mortuary attendant, and the dangerously close-to-cliché, lovable hooker (Sophie Okonedo). The actress's cleverness brings shading and warmth to an otherwise stereotyped part. &quot;Dirty Pretty Things&quot; suggests a demented sequel to Paul Mazursky's &quot;Moscow on the Hudson,&quot; a dog-eared fairy tale in which industry and hard work could deliver refugees from evil, or at least into the middle classes. In &quot;Things,&quot; diligence is not its own reward — the decent have to fight the treacherous undertow of their employers as well as the opportunistic immigration agents. — Elvis Mitchell","2003-07-18","2003-09-05","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/07/18/movies/film-review-amid-the-luxury-immigrants-in-peril.html', 'suggested_link_text': 'Read the New York Times Review of Dirty Pretty Things'}",NA
"212",11,"Johnny English","PG",1,"A. O. Scott","A Bumbling British Spy, Both Shaken and Stirred","Splendid silliness from Rowan Atkinson, who combines the verbal dexterity of his Blackadder persona with the hapless slapstick of Mr. Bean. His character, a would-be superspy, must save England from an evil French gazillionaire, played with exquisite ennui by John Malkovich. Unlike the Austin Powers movies, whose humor depends on sexual innuendo and pop-culture reference-mongering, Johnny English taps an older, simpler reservoir of comic possibilities. Silly walks, funny faces, ridiculous sight gags, the naked buttocks of the Archbishop of Canterbury, and the contents of sewer pipes. Not to worry, though. As Johnny himself remarks, it's only a bit of poo. — A. O. Scott","2003-07-18","2003-07-18","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/07/18/movies/film-review-a-bumbling-british-spy-both-shaken-and-stirred.html', 'suggested_link_text': 'Read the New York Times Review of Johnny English'}",NA
"213",12,"Freaky Friday","PG",1,"A. O. Scott","Walking in Mom's Shoes With Mom's Feet, Too","This new adaptation of Mary Rodgers's beloved novel (also the source of a 1976 movie starring Jodie Foster) is a brisk, inventive comedy of generational misunderstanding and mother-daughter reconciliation. Lindsay Lohan and Jamie Lee Curtis are Anna and Tess Coleman, who wake up one morning to find that they have switched bodies. The mother must navigate the social minefield of high school, while the daughter is plunged into a frenzy of multi-tasking, juggling work, parenthood and an impending remarriage (to an upstanding fellow played by Mark Harmon). The measure of the film's integrity is how smoothly it modulates from wild farce to earnest sentiment, and the two — really the four — main performances are as dazzling as they are effortless. This is especially true of Ms. Curtis, a real-life mom (and best-selling children's-book author in her own right), whose impersonation of a teenager trapped in a middle-aged body is wild, witty and breathtakingly funny. — A.O. Scott","2003-08-06","2003-08-06","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/08/06/movies/film-review-walking-in-mom-s-shoes-with-mom-s-feet-too.html', 'suggested_link_text': 'Read the New York Times Review of Freaky Friday'}",NA
"214",13,"American Splendor","",1,"Elvis Mitchell","A Comics Guy, Outside the Box","&quot;From off the streets of Cleveland comes 'American Splendor,' &quot; screams the cover of every issue of the writer Harvey Pekar's surly and open-eyed autobiographical comic series. The towering, action-packed logo is a further sardonic comment on the lack of activity in the protagonist's life. There's as much at stake in this hilarious, moody and cantankerous film adaptation of &quot;Splendor&quot; as there was in this summer's other movies of comics anti-heroes like &quot;The Hulk&quot; and &quot;The League of Extraordinary Gentlemen.&quot; Harvey is extraordinary — by the way, so is this movie. As played by Paul Giamatti, Harvey's a gray wad of anger that spends his time in his cave-like apartment, with shelves sagging under the weight of his collection of record albums and jazz 78's. And sputtering to his equally powerless pals about a world that he refuses to understand. Slumped into a posture that's a question mark with a pot-belly, Mr. Giamatti's a frustrated tremor, shaking and gesticulating futilely. The filmmakers use the real Mr. Pekar as a narrator initially. For a time, the film cuts to the real-life Pekar, fulminating onscreen with his friends against a stark-white background. This sounds like a mocking, distancing device — and in the wrong hands, it would be. But the real-life Pekar is as vivid in his way as Mr. Giamatti. The actual Pekaris a flinty crank spouting while the actors portraying figures from the streets of Cleveland chuckle in disbelief at him and his obsessive, nerdy friends, like Toby (played in the film with breath-taking precision by Judah Friedlander). The great cast also includes Earl Billings as Mr. Boats, one of Harvey bellicose, small-minded and larger-than-life co-workers, and Danny Hoch. Harvey's romantic match, Joyce Brabner, is played with a tart, intriguing directness by Hope Davis that's equal parts Emma Goldman and Olive Oyl —  that is, the Olive Oyl of the comics, not the screaming helpless No. 2 pencil of the cartoons. And the picture becomes something richer and fuller when Joyce enters the film. Harvey has someone to square off with, and her eccentricities complement his. — Elvis Mitchell","2003-08-15","2003-09-12","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/08/15/movies/film-review-a-comics-guy-outside-the-box.html', 'suggested_link_text': 'Read the New York Times Review of American Splendor'}",NA
"215",14,"Thirteen","R",1,"Elvis Mitchell","Trading Barbie for Drugs, Sex and Halter Tops","The panic in the eyes of Tracy (Evan Rachel Wood), the barely teenaged protagonist of &quot;Thirteen,&quot; will stay with you for a very long time. &quot;Thirteen&quot; treats Tracy's behavior as a fever dream, something viral. This disease eating up her empathy and decency is what she picked up from the effortlessly cool Evie (Nikki Reed), who crashes into Tracy's life and plucks her from an existence of age-appropriate fixations like Barbie dolls. Evie, with the physical confidence of a much older girl, knows exactly how to devastate Tracy; she breezily drops hints that she thinks her new friend is immature. As Evie takes Tracy under her broken wing to remake her, we feel we're watching the protagonist of &quot;Thirteen&quot; undergo the initiations of a new tribe.  The closest  the film comes to a narrative is in following its young central figure straying into sex, drugs and alienation and her sudden detachment from her struggling single mother, Melanie (Holly  Hunter). What we recognize from the stricken look in Melanie's face is the same panic in Tracy's eyes — it's something mother and daughter share, and Ms. Hunter wills this spiritual match-up into existence. The movie has the ebb and flow that comes from material structured as a series of anecdotes —  it doesn't build, and sometimes it feels as cluttered as a 13-year-old's bedroom. But that may be a byproduct of Catherine Hardwicke's attempt to layer incidents that are as far as possible from the weary set of clichés that inform pictures about teens. Ms. Hardwicke, making her directorial debut, works from a screenplay she authored with Ms. Reed, shaped around autobiographical elements from the actress's own life. Usually, the protagonist is the bystander — in &quot;Thirteen,&quot; she's the fuse. — Elvis Mitchell","2003-08-20","2003-09-19","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/08/20/movies/film-review-trading-barbie-for-drugs-sex-and-halter-tops.html', 'suggested_link_text': 'Read the New York Times Review of Thirteen'}",NA
"216",15,"Once Upon a Time In the Midlands","R",1,"Elvis Mitchell","Can a Nice Guy Beat a Bad Boy?","The subject matter of the British director Shane Meadows's &quot;Midlands&quot; is a wry counterpoint to the film's sprawling, epic title. The movie is a soulful domestic comedy with more in common with the enchantingly freakish twitches of life found in a Bill Forsyth film like &quot;Local Hero&quot; than one of Sergio Leone's blood-orange epics like &quot;Once Upon a Time in the West.&quot;  &quot;Midlands&quot; weaves a large number of characters throughout the tract homes of Nottingham, where the movie is set. It threatens a showdown  between a pair of rivals, Dek (Rhys Ifans) and Jimmy (Robert Carlyle), who both want Shirley (Shirley Henderson). And by the end of the film, Mr. Meadows exaggerates the conventions of the western to make his own points about the foolishness of machismo.  But what really separates &quot;Midlands&quot; from Leone's desiccated, terse genre work is Mr. Meadows's doting attention over his characters' decency. It gives a demonstrative bittersweetness to a likable but small story. Jimmy strides into Shirley's life to reclaim her and their daughter, Marlene (Finn Atkins), though he's been out of the picture for so long that there could have been a reality show about his disappearance. It's an actual reality show that has caused the trouble for Dek; he proposed to Shirley, with whom he's been living and helping to raise her little girl, and she rebuffed him on national television. Stunned, he's picking up the shards of what used to be his dignity when Jimmy returns, further tangling the knot of emotional complications. &quot;Midlands&quot; is primarily a film about the need that fatherhood fills — Dek's closeness to Marlene registers strongly. — Elvis Mitchell","2003-08-29","","2017-11-02 04:16:21","{'type': 'article', 'url': 'http://www.nytimes.com/2003/08/29/movies/film-review-can-a-nice-guy-beat-a-bad-boy.html', 'suggested_link_text': 'Read the New York Times Review of Once Upon a Time In the Midlands'}",NA
"217",16,"Carnage","Not Rated",1,"A. O. Scott","A Bull, After Death, Touches Many Unrelated Lives","An elegant, elliptical meditation on death, sex, meat and desire. There is violence, and a subdued erotic throb, but the movie's pleasures are more cerebral than sensual. A group of far-flung, mostly lonely Europeans, including an actress (Chiara Mastrantonio), a taxidermist (Bernard Sens), a research scientist (Jacques Gamblin) and a five-year old girl with epilepsy (Raphaelle Molinier) are linked together by chance and coincidence. Specifically, they each come into contact with parts of a Spanish bull, who has gored a young matador and subsequently been slaughtered. The animal, whose name is Romero, produces not only meat, but metaphor as well; his death opens up a philosophical inquiry that is ambitious and sometimes rather vague. What makes &quot;Carnage&quot; fascinating, though, is less the scale of Delphine Gleize's intellectual passions than the precision and originality of her cinematic style. This movie, her first feature, is both lyrical and tough-minded, and her ability to embed ideas in visual compositions is as subtle as it is extraordinary. — A. O. Scott","2003-09-05","","2017-11-02 04:16:20","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/05/movies/film-review-a-bull-after-death-touches-many-unrelated-lives.html', 'suggested_link_text': 'Read the New York Times Review of Carnage'}",NA
"218",17,"The Same River Twice","Not Rated",1,"Stephen Holden","No Cares, No Clothes, but (Sigh) No More","This piercingly poignant, then-and-now documentary about  five baby boomers who lived communally while working as summer guides on the  Colorado River in the 1970's interweaves excerpts from a film Robb Ross made of a 1978  river trip, with portraits of the same friends more than 20 years later. Of the five, only one  remained an outdoorsman.. The other four are solid citizens, married or divorced, with  children and leading complicated but reasonably happy grown-up lives. What leaves you  feeling wistful is the movie's exposure of the ravages of time on the human body (they  were once so beautiful and ecstatic) and a sense of &quot;is that all there is?&quot; when it comes to  growing up. — Stephen Holden","2003-09-10","","2017-11-02 04:16:22","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/10/movies/film-review-river-days-no-cares-no-clothes-but-sigh-no-more.html', 'suggested_link_text': 'Read the New York Times Review of The Same River Twice'}",NA
"219",18,"Lost In Translation","R",1,"Elvis Mitchell","An American in Japan, Making a Connection","Sofia Coppola's comic melodrama thoroughly and touchingly bridges the yawning gap between three standards of yearning in movies: David Lean's &quot;Brief Encounter,&quot; Richard Linklater's &quot;Before Sunrise&quot; and Wong Kar-wai's &quot;In the Mood for Love.&quot; The movie happens to be hilarious — a paean to dislocated people discovering how alive they are when they can barely keep their eyes open. The sexiness comes from the busy, desperate need-to-impress heat of a flirtation, an unrequited love communicated through a filter of sleep deprivation. &quot;Translation&quot; is also one of the purest and simplest examples ever of a director's falling in love with her star's gifts. And never has a director found a figure more deserving of her admiration than Bill Murray. He plays a vodka-and-bitters version of himself, and the persona that made him famous. His character, Bob, is an American movie star who's in Tokyo to participate in the celebrity not-so-secret shame: picking up a boatload of dough to appear in commercials for Suntory whiskey. While blinking sleeplessly around the hotel lobby of the majestically hermetic Tokyo Hyatt, he meets Charlotte (Scarlett Johansson), who has been abandoned by her husband, an ambitious photographer; he's off shooting a band. The movie follows the twists and connections in Bob and Charlotte's relationship; like some trans-Atlantic phone calls, their feelings reach each other on a five-second delay. The lag time only adds to the comedy, and heartbreak. — Elvis Mitchell","2003-09-12","2003-10-03","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/12/movies/film-review-an-american-in-japan-making-a-connection.html', 'suggested_link_text': 'Read the New York Times Review of Lost In Translation'}",NA
"220",19,"Millennium Actress","PG",1,"A. O. Scott","To the Samurai and Godzilla, With Love","This exquisitely drawn animated feature is an intoxicating, sometimes baffling exercise in unabashed movie love. In this case the immediate object is Chiyoko Fujihara, a legendary (and fictitious) Japanese movie star whose retirement is interrupted by an ardent documentary maker. Chiyoko's reminiscences of her adventures on and off screen before and after World War II become a fantastic, gorgeously romantic voyage through the history of Japanese cinema in its golden age. Satoshi Koh pays tribute to the samurai epics, Godzilla movies and domestic urban dramas that were so central to that history, and he uses the freedom of animation to construct a seamless dream world in which real life and its representation in movies blend together in a single sweeping, intricate story. To some extent, the movie depends on familiarity with the cinematic and cultural traditions it celebrates, but its central emotions — the longing, worshipful fascination that the great vanished stars inspired in their fans — will be immediately accessible to anyone who has ever been seduced by the idea that life on screen can be not just more beautiful than real life, but more real. — A. O. Scott","2003-09-12","","2017-11-02 04:16:20","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/12/movies/film-review-to-the-samurai-and-godzilla-with-love.html', 'suggested_link_text': 'Read the New York Times Review of Millennium Actress'}",NA
"221",0,"In This World","R",1,"A. O. Scott","Young Afghan Refugees Who Just Keep Going","Michael Winterbottom's film about two young Afghan refugees trying to reach London begins on the Pakistani border and unfolds on the blurry frontier between documentary and fiction. Shot in digital video with non-professional actors, it has a harsh immediacy that forces you to confront the terrible plight of the world's displaced people one face at a time. But this story of peril, frustration and heartbreak also has moments of great warmth and vitality. Jamal (Jamal Udin Torabi), the younger of the two travelers, has a tough, impish joie de vivre, and as he and his cousin make their way west, they encounter decency as well as indifference. This movie has the paradoxical effect of forcing you to confront the enormity of the world's cruelty and the overwhelming scale of its suffering, and at the same time making you feel glad to be in it. — A.O. Scott","2003-09-19","","2017-11-02 04:16:21","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/19/movies/film-review-young-afghan-refugees-who-just-keep-going.html', 'suggested_link_text': 'Read the New York Times Review of In This World'}",NA
"222",1,"Casa de Los Babys","R",1,"Stephen Holden","Six Characters in Search of an Infant","A typical John Sayles ensemble piece, this movie follows six white American women, all but one over 30, impatiently waiting out their lengthy residency requirements in an unidentified South American country before picking up their adoptive babies. If some of the jigsaw pieces in this beautifully acted movie are too fragmentary and crowded together, its even-handed view of two cultures uneasily transacting the most personal business resonates with truth. The movie adheres to the essayistic format of Mr. Sayles's earlier movies, and its attitude is rooted in the director's understanding of the degree to which the money, class and ethnicity determine our points of view. — Stephen Holden","2003-09-19","","2017-11-02 04:16:21","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/19/movies/film-review-six-characters-in-search-of-an-infant.html', 'suggested_link_text': 'Read the New York Times Review of Casa de Los Babys'}",NA
"223",2,"Demonlover","R",1,"Stephen Holden","Life Is Just a Video Game (With Very High Stakes)","A tricky and ambitious techno thriller, &quot;Demonlover&quot; begins as a post-Hitchcockian corporate melodrama involving the fight to control a cutting-edge Japanese pornography company and slowly turns into a cinematic video game. Its enigmatic antiheroine (Connie Nielsen) is an industrial spy who suggests a female cyber-age equivalent of the archetypal Man With No Name. The movie plays head games as relentlessly as she pursues espionage and clashes with other corporate spies, played by Gina Gershon and Chloe Sevigny. On its way to a nightmarish cul-de-sac, the conceptually audacious but not always successful film makes the same kind of leaps into the irrational as &quot;Mulholland Drive&quot; and &quot;Fight Club.&quot; — Stephen Holden","2003-09-19","","2017-11-02 04:16:20","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/19/movies/film-review-life-is-just-a-video-game-with-very-high-stakes.html', 'suggested_link_text': 'Read the New York Times Review of Demonlover'}",NA
"224",3,"Yossi & Jagger","Not Rated",1,"Stephen Holden","Israeli Officers in Love, Trying to Elude Death and Detection","The pressures and privations of military life have rarely been  portrayed in as much telling detail as they are in &quot;Yossi and Jagger,&quot; Eytan Fox's compact  beautifully acted portrait of a group of bored Israeli soldiers stationed at a cramped army  base on the Israeli-Lebanese border. In this desolate environment romance has flowered  between Yossi (Chad Knoller) and Jagger (Yehuda Levi) soldiers carrying on a discreet,  conflict-ridden love affair. The tensions at the base intensify with the arrival of two  female soldiers, one of whom fancies herself in love with Jagger. If the situation has all  the ingredients for a shrill, tearful melodrama, the taut screenplay by Avner Bernheimer  keeps the lid on: A subtle and superbly realized miniature. — Stephen Holden","2003-09-24","","2017-11-02 04:16:22","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/24/movies/film-review-israeli-officers-in-love-trying-to-elude-death-and-detection.html', 'suggested_link_text': 'Read the New York Times Review of Yossi & Jagger'}",NA
"225",4,"Duplex","PG-13",1,"A. O. Scott","An Irksome Neighbor, Inspiring Fantasies","Ben Stiller and Drew Barrymore play Alex and Nancy, a young couple whose dreams of finding real estate bliss in Brooklyn are complicated by their tenant, an ancient woman (Eileen Essell) who annoys them almost to the point of homicide. Danny DeVito's comedies have often explored the murderous rage that lurks within the hearts of otherwise civilized people, and this one, sharply written by Larry Doyle, turns Alex and Nancy's predicament into a double-edged satire of gentrification, yuppie entitlement and New York real estate obsession. The old lady, while monstrously manipulative and stubborn, might also represent an indomitable urban life force resisting the forces of gentrification. — A. O. Scott","2003-09-26","2003-09-26","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/09/26/movies/film-review-an-irksome-neighbor-inspiring-fantasies.html', 'suggested_link_text': 'Read the New York Times Review of Duplex'}",NA
"226",5,"Concert For George","PG-13",1,"Stephen Holden","Friends Pay Tribute to a Fallen Beatle","This moving documentary, shot in high-definition video and surround-sound, records a tribute concert to George Harrison in  London, at Royal Albert Hall on Nov. 29, 2002. An all-star band gives majestic performances of most of Harrison's best-known songs. They encompass both his work with the Beatles (&quot;Here Comes the Sun&quot;) and his solo career (&quot;My Sweet Lord&quot;).  The mood is upbeat but serene, and the performances capture his incense-fragrant music, with its mixture of Hindu mysticism and pop muscularity in all its grandeur. The Monty  Python troupe and Harrison's mentor Ravi Shankar also appear. — Stephen Holden","2003-10-03","2004-03-03","2017-11-02 04:18:03","{'type': 'article', 'url': 'http://www.nytimes.com/2003/10/03/movies/film-in-review-concert-for-george.html', 'suggested_link_text': 'Read the New York Times Review of Concert For George'}",NA
"227",6,"The Station Agent","R",1,"Elvis Mitchell","A Train Depot, More Dream Than Destination","The remote outpost that a dwarf named Fin (Peter Dinklage) settles into, a rundown train depot in the wilds of New Jersey, is such a restful space that it seems perfect for him. Tom McCarthy has such an appreciation for quiet that it occupies the same space as a character in this film, a delicate, thoughtful and often hilarious take on loneliness.  Fin, with his low, rational voice and intense stare, has moved into the small spot after he inherits it. Mr. McCarthy treats Fin's new life as if his protagonist were emerging from underwater and must adjust to the onrush of aural assault. Much of it comes from Joe (Bobby Cannavale), the relentlessly friendly and talky Cuban who pulls up every day in his food truck to run what must be the loneliest retail location not staffed by a Maytag salesman. Hawking coffee and fanning up a cloud of busy, pushy and likable chatter, Joe elbows his way into the taciturn Fin's life. Mr. McCarthy wrings contrasts from the serene, diminutive Mr. Dinklage — whose dignity seems unassailable until finally ruffled, when he lets loose a thunderbolt of hostility — and the big, buffed Cannavale, whose unremitting volubility is sheer charm. Their relationship is goofily enthralling. A movie about a dwarf certainly flirts with being cringe-worthy, at least in the abstract, but Mr. McCarthy deals with his creations as characters. What's most important about Fin is the detachment he imposes on himself — his resignation with loneliness. — Elvis Mitchell","2003-10-03","2003-12-05","2017-11-02 04:18:03","{'type': 'article', 'url': 'http://www.nytimes.com/2003/10/03/movies/film-review-a-train-depot-more-dream-than-destination.html', 'suggested_link_text': 'Read the New York Times Review of The Station Agent'}",NA
"228",7,"School of Rock","PG-13",1,"Stephen Holden","Putting a Spin on the 3 R's (Rock, Roll and Rebellion)","Jack Black gives a roaring star-making performance as Dewey Finn, an out-of-work heavy-metal rocker who impersonates a  substitute teacher and turns a class of nerdy fifth graders into a rock band. Mr. Black's incandescent comic energy should establish him as the screen's most popular rock-fueled  wild man since John Belushi. Under the nose of the prim school principal (Joan Cusack),  Dewey, who knows nothing of academics, preaches the gospel of rock 'n' roll and secretly  converts the class from liking Christine Aguilera songs and the musical &quot;Annie&quot; to appreciating Led Zeppelin and  AC/DC. This family-friendly movie, which has big rousing &quot;Rocky&quot;-style finale and isn't  believable for a second, is a hilarious cotton-candy fantasy with a beat. It knows just  where to draw the line to avoid becoming too cute, too esoteric or too risqué. — Stephen Holden","2003-10-03","2003-10-03","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/10/03/movies/film-review-substitute-teacher-puts-spin-3-r-s-rock-roll-rebellion.html', 'suggested_link_text': 'Read the New York Times Review of School of Rock'}",NA
"229",8,"Mystic River","R",1,"A. O. Scott","Dark Parable of Violence Avenged","Clint Eastwood's film, scrupulously faithful to the letter and sprit of Dennis Lehane's novel, has the gritty efficiency of superior crime fiction and the somber weight of tragedy. Set in working-class Irish Catholic Boston, this film revisits the themes of violence, honor and guilt that have haunted many of Mr. Eastwood's movies; it is among the most humane of his films, but also the most rigorously pessimistic. Tim Robbins, Kevin Bacon and Sean Penn play Dave, Sean and Jimmy, boyhood friends who must revisit the traumas of their youth when Jimmy's daughter is murdered. Sean and his partner (Laurence Fishburne) must investigate the killing, which it appears Dave may have committed. The performances are first rate. Marcia Gay Harden, as Dave's wife, Celeste, and Laura Linney, as her cousin Annabeth, who is married to Jimmy, expand the film's emotional compass, allowing us to see how grief ripples through families and communities. Mr. Penn's volcanic, furiously disciplined performance is surely one of the best pieces of screen acting you'll see this year; it may even be one of the finest ever. — A. O. Scott","2003-10-03","2003-10-15","2017-11-02 04:18:02","{'type': 'article', 'url': 'http://www.nytimes.com/2003/10/03/movies/film-festival-review-dark-parable-of-violence-avenged.html', 'suggested_link_text': 'Read the New York Times Review of Mystic River'}",NA
"230",9,"S21: The Khmer Rouge Killing Machine","Not Rated",1,"Elvis Mitchell","Survivor of Cambodian Prison Confronts a Nation's Madness","&quot;I survived because they liked my paintings,&quot; says Vann Nath in this unsettling documentary, an affecting and effective film. This placid artist was imprisoned along with 17,000 other Cambodians in a Phnom Penh high school that had been converted into a Khmer Rouge interrogation and torture center. The school was used for this purpose for two years during the Khmer Rouge reign of terror (1975 to 1979), when as many as a million people died. In the film, he returns there to confront the men who worked as guards, really boys doing the Devil's work: at the time, they ranged from 13 to their early 20's. At one point the director shows the former guards recreating their grisly everyday tasks as a kind of pantomime. Watching them re-enact their chores in the large, stained and now empty rooms, which look like those in almost any American high school — while piles of the dead prisoners' abandoned clothes sit heaped nearby — is simply one of the most disorienting moments you're likely to encounter in a movie. — Elvis Mitchell","2003-10-04","","2017-11-02 04:16:23","{'type': 'article', 'url': 'http://www.nytimes.com/2003/10/04/movies/film-festival-review-an-artist-s-stark-vision-of-cambodian-slaughter.html', 'suggested_link_text': 'Read the New York Times Review of S21: The Khmer Rouge Killing Machine'}",NA
"231",10,"Dogville","R",1,"Stephen Holden","Virtue Is Its Own Punishment","The quasi-Christian allegory by the Danish filmmaker Lars von Trier is certain to divide audiences into passionate champions and hissing naysayers. Mr. von Trier is a ruthless provocateur with the sensibility of a practical joker. The ensemble drama, filmed on a stage designed as a map, often suggests a long-winded Brechtian deconstruction of &quot;Our Town.&quot; As a  contemptuous, nose-thumbing expression of the director's misanthropy, especially his  anti-Americanism, the movie is relentlessly true to its hateful vision, which portrays the  ideal of embracing human community (and especially the cozy, cookie-baking dream of  small-town America) as a lie. The only true solidarity to be found in any group, it  proposes, is in xenophobic mob violence. Set during the Depression in the imaginary American town of Dogville, it reworks Mr. von Trier's favorite metaphor for human cruelty — the persecution and martyrdom of an innocent young woman (played by Ms. Kidman) — then subjects it to a transcendently nasty, vengeful twist. — Stephen Holden","2003-10-04","2004-04-23","2017-11-02 04:18:03","{'type': 'article', 'url': 'http://www.nytimes.com/2003/10/04/movies/film-festival-review-virtue-is-its-own-punishment.html', 'suggested_link_text': 'Read the New York Times Review of Dogville'}",NA
"232",11,"Elephant","R",1,"Elvis Mitchell","A 'Normal' High School on the Verge","This unusual and remarkable film has a premise so simple that, in the abstract, it borders on the banal: plotless and stubbornly resistant to conventional narrative structure, the movie has its camera follow students around the halls and grounds of a  high school in Portland, Ore., for a day until violence  erupts.  &quot;Elephant&quot; is the director Gus Van Sant's take on the murders that took place at Columbine High School.  The title comes from the British director Alan Clarke's 1989 rough-and-ready short film of the same name, a tough and dense look at the   violence in northern Ireland, which also didn't paste answers onto the  problem. Mr. Clarke's short outraged or absorbed viewers in the way Mr. Van  Sant's movie, which won the Palme d'Or at Cannes, is likely to do. (Mr. Clarke's title referred to the aphorism about the elephant in the living room — a problem that people refuse to face for so long that they are no longer even able to  see it.) &quot;Elephant&quot; will confound audiences looking for solutions or villains, because it doesn't supply them. There's no narrator perched  omnisciently over the events, nor the kinds of exaggerated melodramatics  and pop music that teen movies employ to insistently nag at emotions. There are few recognizable actors, since Mr. Van Sant populated the movie with   kids who had never acted before, heightening the realism and the tension. Mr. Van Sant gives &quot;Elephant&quot; a Spartan yet elusive life by shifting the film's focus from one group of  students to another; the camera actually drifts like a bored high school student.  And by the end of the movie, we realize where much of the power and clarity of the film comes  from. By making the camera an observer, we get a perspective  that often comes out of horror movies, a choice that whips the ordinary  with the terrifying —  an unforgettable mix. — Elvis Mitchell","2003-10-10","2003-11-14","2017-11-02 04:18:03","{'type': 'article', 'url': 'http://www.nytimes.com/2003/10/10/movies/film-festival-review-normal-high-school-on-the-verge.html', 'suggested_link_text': 'Read the New York Times Review of Elephant'}",NA
